momentum_period,rebalance_days,top_pct,num_stocks,num_periods_tested,avg_return,std_return,min_return,max_return,avg_7wk_return,avg_sharpe,std_sharpe,min_sharpe,max_sharpe,avg_drawdown,max_drawdown,consistency_score
5,2,0.1,5,21,68.99358703714698,45.36473474531063,3.8471216582104617,187.15936753675288,11.188491214752196,2.7258886630534,1.280687239720253,0.3148361671136394,4.87816611884102,5.092478788921085,11.276137949495467,1.4452014233331472
13,2,0.2,10,21,54.452227757205435,46.78669353645604,6.057941462700467,188.06201953060912,9.004558519817532,2.556791205870365,1.1358217507003339,0.6043597293224845,4.557161884635118,3.7917100387602507,11.466316041290675,1.420969455170031
7,5,0.3,15,21,45.01816090524748,29.269473248287706,2.8589385521007538,106.50655377439185,7.888933132716589,2.698028846047157,1.278987152070179,0.3240752795560553,4.627331287198232,3.634411756452185,10.770320865631104,1.419041693976978
10,5,0.3,15,21,48.165321491400555,33.56585981844838,3.0524039800374547,116.6810662799624,8.282872522989909,2.8442834451277816,1.4502852155002741,0.3072447632590553,5.155112611142504,3.5897150232419013,12.195919914245605,1.3939982296275075
11,3,0.2,10,21,59.58179796653905,51.7744889741128,6.717515602128588,176.86081221884598,9.631517701103572,2.668035250243656,1.287907050387191,0.5849211180401024,5.565562703887436,3.961048461358721,10.79987878751739,1.3801281998564652
11,4,0.2,10,21,58.20042909349908,52.86227835430243,7.355483158150977,222.4481936740423,9.44087862141927,2.6311943879387614,1.2585341194163966,0.6311075638692712,6.062210724742018,4.136106704574571,15.417032305687778,1.3726602685223648
14,4,0.1,5,21,57.20190801300659,36.647724286934015,10.290122900585486,137.71286610313047,9.68408950569516,2.291081867668457,0.9209003422709705,0.6755246477048598,4.418436120255948,5.249463416926933,8.652774364049346,1.3701815253974863
5,5,0.1,5,21,66.067106031426,43.04762095206047,11.739392550346995,151.67261398912726,10.804158029828752,2.472156991074712,1.1279088212195993,0.7237079959547519,4.220048606920582,5.390740557597097,13.520248863062612,1.3442481698551128
5,3,0.3,15,21,46.931590305598455,30.504702356881815,-6.894738444372672,121.40961580424383,8.16845035589309,2.789711402995374,1.4558483012623116,-0.6095367209641995,5.081044555169513,4.1438739714456405,10.639587701321851,1.3338631017330624
15,5,0.1,5,21,50.58466203613077,24.958521177898156,12.714844954873472,97.9150272635837,8.897260317121233,2.372830494225272,1.0840869600292322,0.7867014480046598,4.499563425708513,5.338025551680666,11.897827239990235,1.2887435341960396
5,4,0.1,5,21,54.17923024966566,32.11308609239749,-2.8155026908390557,113.55594117952438,9.291507236480713,2.37856952255681,1.0951214320277594,0.06466890263113659,4.835166191527559,5.88273948174601,16.23963468639154,1.2834480905290506
12,2,0.2,10,21,62.9490986592927,57.549094739533636,3.7459055297744737,223.5748232760957,9.972386311304001,2.7128745773226752,1.4329092595032649,0.3679527871918268,6.1051328402797,3.9792148453575518,11.988371360384539,1.2799653178194104
8,5,0.3,15,21,41.420947500311236,29.002994633427534,0.42057203020813283,105.77186713027334,7.304657716841924,2.492989670359566,1.2238683413331275,0.0944873534901395,4.072411478428288,3.881802864962114,11.691317035675048,1.2691213290264387
